REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
UGANDA,PWRHYD001,OPDS,2039,0.45
UGANDA,PWRHYD001,OPDS,2040,0.45
UGANDA,PWRHYD001,OPRS,2018,0.45
UGANDA,PWRHYD001,OPRS,2019,0.45
UGANDA,PWRHYD001,OPRS,2020,0.45
UGANDA,PWRHYD001,OPRS,2021,0.45
UGANDA,PWRHYD001,OPRS,2022,0.45
UGANDA,PWRHYD001,OPRS,2023,0.45
UGANDA,PWRHYD001,OPRS,2024,0.45
UGANDA,PWRHYD001,OPRS,2025,0.45
UGANDA,PWRHYD001,OPRS,2026,0.45
UGANDA,PWRHYD001,OPRS,2027,0.45
UGANDA,PWRHYD001,OPRS,2028,0.45
UGANDA,PWRHYD001,OPRS,2029,0.45
UGANDA,PWRHYD001,OPRS,2030,0.45
UGANDA,PWRHYD001,OPRS,2031,0.45
UGANDA,PWRHYD001,OPRS,2032,0.45
UGANDA,PWRHYD001,OPRS,2033,0.45
UGANDA,PWRHYD001,OPRS,2034,0.45
UGANDA,PWRHYD001,OPRS,2035,0.45
UGANDA,PWRHYD001,OPRS,2036,0.45
UGANDA,PWRHYD001,OPRS,2037,0.45
UGANDA,PWRHYD001,OPRS,2038,0.45
UGANDA,PWRHYD001,OPRS,2039,0.45
UGANDA,PWRHYD001,OPRS,2040,0.45
UGANDA,PWRHYD001,PDS,2018,0.45
UGANDA,PWRHYD001,PDS,2019,0.45
UGANDA,PWRHYD001,PDS,2020,0.45
UGANDA,PWRHYD001,PDS,2021,0.45
UGANDA,PWRHYD001,PDS,2022,0.45
UGANDA,PWRHYD001,PDS,2023,0.45
UGANDA,PWRHYD001,PDS,2024,0.45
UGANDA,PWRHYD001,PDS,2025,0.45
UGANDA,PWRHYD001,PDS,2026,0.45
UGANDA,PWRHYD001,PDS,2027,0.45
UGANDA,PWRHYD001,PDS,2028,0.45
UGANDA,PWRHYD001,PDS,2029,0.45
UGANDA,PWRHYD001,PDS,2030,0.45
UGANDA,PWRHYD001,PDS,2031,0.45
UGANDA,PWRHYD001,PDS,2032,0.45
UGANDA,PWRHYD001,PDS,2033,0.45
UGANDA,PWRHYD001,PDS,2034,0.45
UGANDA,PWRHYD001,PDS,2035,0.45
UGANDA,PWRHYD001,PDS,2036,0.45
UGANDA,PWRHYD001,PDS,2037,0.45
UGANDA,PWRHYD001,PDS,2038,0.45
UGANDA,PWRHYD001,PDS,2039,0.45
UGANDA,PWRHYD001,PDS,2040,0.45
UGANDA,PWRHYD001,PRS,2018,0.45
UGANDA,PWRHYD001,PRS,2019,0.45
UGANDA,PWRHYD001,PRS,2020,0.45
UGANDA,PWRHYD001,PRS,2021,0.45
UGANDA,PWRHYD001,PRS,2022,0.45
UGANDA,PWRHYD001,PRS,2023,0.45
UGANDA,PWRHYD001,PRS,2024,0.45
UGANDA,PWRHYD001,PRS,2025,0.45
UGANDA,PWRHYD001,PRS,2026,0.45
UGANDA,PWRHYD001,PRS,2027,0.45
UGANDA,PWRHYD001,PRS,2028,0.45
UGANDA,PWRHYD001,PRS,2029,0.45
UGANDA,PWRHYD001,PRS,2030,0.45
UGANDA,PWRHYD001,PRS,2031,0.45
UGANDA,PWRHYD001,PRS,2032,0.45
UGANDA,PWRHYD001,PRS,2033,0.45
UGANDA,PWRHYD001,PRS,2034,0.45
UGANDA,PWRHYD001,PRS,2035,0.45
UGANDA,PWRHYD001,PRS,2036,0.45
UGANDA,PWRHYD001,PRS,2037,0.45
UGANDA,PWRHYD001,PRS,2038,0.45
UGANDA,PWRHYD001,PRS,2039,0.45
UGANDA,PWRHYD001,PRS,2040,0.45
UGANDA,PWRHYD001,SD,2018,0.45
UGANDA,PWRHYD001,SD,2019,0.45
UGANDA,PWRHYD001,SD,2020,0.45
UGANDA,PWRHYD001,SD,2021,0.45
UGANDA,PWRHYD001,SD,2022,0.45
UGANDA,PWRHYD001,SD,2023,0.45
UGANDA,PWRHYD001,SD,2024,0.45
UGANDA,PWRHYD001,SD,2025,0.45
UGANDA,PWRHYD001,SD,2026,0.45
UGANDA,PWRHYD001,SD,2027,0.45
UGANDA,PWRHYD001,SD,2028,0.45
UGANDA,PWRHYD001,SD,2029,0.45
UGANDA,PWRHYD001,SD,2030,0.45
UGANDA,PWRHYD001,SD,2031,0.45
UGANDA,PWRHYD001,SD,2032,0.45
UGANDA,PWRHYD001,SD,2033,0.45
UGANDA,PWRHYD001,SD,2034,0.45
UGANDA,PWRHYD001,SD,2035,0.45
UGANDA,PWRHYD001,SD,2036,0.45
UGANDA,PWRHYD001,SD,2037,0.45
UGANDA,PWRHYD001,SD,2038,0.45
UGANDA,PWRHYD001,SD,2039,0.45
UGANDA,PWRHYD001,SD,2040,0.45
UGANDA,PWRHYD001,SR,2018,0.45
UGANDA,PWRHYD001,SR,2019,0.45
UGANDA,PWRHYD001,SR,2020,0.45
UGANDA,PWRHYD001,SR,2021,0.45
UGANDA,PWRHYD001,SR,2022,0.45
UGANDA,PWRHYD001,SR,2023,0.45
UGANDA,PWRHYD001,SR,2024,0.45
UGANDA,PWRHYD001,SR,2025,0.45
UGANDA,PWRHYD001,SR,2026,0.45
UGANDA,PWRHYD001,SR,2027,0.45
UGANDA,PWRHYD001,SR,2028,0.45
UGANDA,PWRHYD001,SR,2029,0.45
UGANDA,PWRHYD001,SR,2030,0.45
UGANDA,PWRHYD001,SR,2031,0.45
UGANDA,PWRHYD001,SR,2032,0.45
UGANDA,PWRHYD001,SR,2033,0.45
UGANDA,PWRHYD001,SR,2034,0.45
UGANDA,PWRHYD001,SR,2035,0.45
UGANDA,PWRHYD001,SR,2036,0.45
UGANDA,PWRHYD001,SR,2037,0.45
UGANDA,PWRHYD001,SR,2038,0.45
UGANDA,PWRHYD001,SR,2039,0.45
UGANDA,PWRHYD001,SR,2040,0.45
UGANDA,PWRHYD002,OPDS,2018,0.45
UGANDA,PWRHYD002,OPDS,2019,0.45
UGANDA,PWRHYD002,OPDS,2020,0.45
UGANDA,PWRHYD002,OPDS,2021,0.45
UGANDA,PWRHYD002,OPDS,2022,0.45
UGANDA,PWRHYD002,OPDS,2023,0.45
UGANDA,PWRHYD002,OPDS,2024,0.45
UGANDA,PWRHYD002,OPDS,2025,0.45
UGANDA,PWRHYD002,OPDS,2026,0.45
UGANDA,PWRHYD002,OPDS,2027,0.45
UGANDA,PWRHYD002,OPDS,2028,0.45
UGANDA,PWRHYD002,OPDS,2029,0.45
UGANDA,PWRHYD002,OPDS,2030,0.45
UGANDA,PWRHYD002,OPDS,2031,0.45
UGANDA,PWRHYD002,OPDS,2032,0.45
UGANDA,PWRHYD002,OPDS,2033,0.45
UGANDA,PWRHYD002,OPDS,2034,0.45
UGANDA,PWRHYD002,OPDS,2035,0.45
UGANDA,PWRHYD002,OPDS,2036,0.45
UGANDA,PWRHYD002,OPDS,2037,0.45
UGANDA,PWRHYD002,OPDS,2038,0.45
UGANDA,PWRHYD002,OPDS,2039,0.45
UGANDA,PWRHYD002,OPDS,2040,0.45
UGANDA,PWRHYD002,OPRS,2018,0.45
UGANDA,PWRHYD002,OPRS,2019,0.45
UGANDA,PWRHYD002,OPRS,2020,0.45
UGANDA,PWRHYD002,OPRS,2021,0.45
UGANDA,PWRHYD002,OPRS,2022,0.45
UGANDA,PWRHYD002,OPRS,2023,0.45
UGANDA,PWRHYD002,OPRS,2024,0.45
UGANDA,PWRHYD002,OPRS,2025,0.45
UGANDA,PWRHYD002,OPRS,2026,0.45
UGANDA,PWRHYD002,OPRS,2027,0.45
UGANDA,PWRHYD002,OPRS,2028,0.45
UGANDA,PWRHYD002,OPRS,2029,0.45
UGANDA,PWRHYD002,OPRS,2030,0.45
UGANDA,PWRHYD002,OPRS,2031,0.45
UGANDA,PWRHYD002,OPRS,2032,0.45
UGANDA,PWRHYD002,OPRS,2033,0.45
UGANDA,PWRHYD002,OPRS,2034,0.45
UGANDA,PWRHYD002,OPRS,2035,0.45
UGANDA,PWRHYD002,OPRS,2036,0.45
UGANDA,PWRHYD002,OPRS,2037,0.45
UGANDA,PWRHYD002,OPRS,2038,0.45
UGANDA,PWRHYD002,OPRS,2039,0.45
UGANDA,PWRHYD002,OPRS,2040,0.45
UGANDA,PWRHYD002,PDS,2018,0.45
UGANDA,PWRHYD002,PDS,2019,0.45
UGANDA,PWRHYD002,PDS,2020,0.45
UGANDA,PWRHYD002,PDS,2021,0.45
UGANDA,PWRHYD002,PDS,2022,0.45
UGANDA,PWRHYD002,PDS,2023,0.45
UGANDA,PWRHYD002,PDS,2024,0.45
UGANDA,PWRHYD002,PDS,2025,0.45
UGANDA,PWRHYD002,PDS,2026,0.45
UGANDA,PWRHYD002,PDS,2027,0.45
UGANDA,PWRHYD002,PDS,2028,0.45
UGANDA,PWRHYD002,PDS,2029,0.45
UGANDA,PWRHYD002,PDS,2030,0.45
UGANDA,PWRHYD002,PDS,2031,0.45
UGANDA,PWRHYD002,PDS,2032,0.45
UGANDA,PWRHYD002,PDS,2033,0.45
UGANDA,PWRHYD002,PDS,2034,0.45
UGANDA,PWRHYD002,PDS,2035,0.45
UGANDA,PWRHYD002,PDS,2036,0.45
UGANDA,PWRHYD002,PDS,2037,0.45
UGANDA,PWRHYD002,PDS,2038,0.45
UGANDA,PWRHYD002,PDS,2039,0.45
UGANDA,PWRHYD002,PDS,2040,0.45
UGANDA,PWRHYD002,PRS,2018,0.45
UGANDA,PWRHYD002,PRS,2019,0.45
UGANDA,PWRHYD002,PRS,2020,0.45
UGANDA,PWRHYD002,PRS,2021,0.45
UGANDA,PWRHYD002,PRS,2022,0.45
UGANDA,PWRHYD002,PRS,2023,0.45
UGANDA,PWRHYD002,PRS,2024,0.45
UGANDA,PWRHYD002,PRS,2025,0.45
UGANDA,PWRHYD002,PRS,2026,0.45
UGANDA,PWRHYD002,PRS,2027,0.45
UGANDA,PWRHYD002,PRS,2028,0.45
UGANDA,PWRHYD002,PRS,2029,0.45
UGANDA,PWRHYD002,PRS,2030,0.45
UGANDA,PWRHYD002,PRS,2031,0.45
UGANDA,PWRHYD002,PRS,2032,0.45
UGANDA,PWRHYD002,PRS,2033,0.45
UGANDA,PWRHYD002,PRS,2034,0.45
UGANDA,PWRHYD002,PRS,2035,0.45
UGANDA,PWRHYD002,PRS,2036,0.45
UGANDA,PWRHYD002,PRS,2037,0.45
UGANDA,PWRHYD002,PRS,2038,0.45
UGANDA,PWRHYD002,PRS,2039,0.45
UGANDA,PWRHYD002,PRS,2040,0.45
UGANDA,PWRHYD002,SD,2018,0.45
UGANDA,PWRHYD002,SD,2019,0.45
UGANDA,PWRHYD002,SD,2020,0.45
UGANDA,PWRHYD002,SD,2021,0.45
UGANDA,PWRHYD002,SD,2022,0.45
UGANDA,PWRHYD002,SD,2023,0.45
UGANDA,PWRHYD002,SD,2024,0.45
UGANDA,PWRHYD002,SD,2025,0.45
UGANDA,PWRHYD002,SD,2026,0.45
UGANDA,PWRHYD002,SD,2027,0.45
UGANDA,PWRHYD002,SD,2028,0.45
UGANDA,PWRHYD002,SD,2029,0.45
UGANDA,PWRHYD002,SD,2030,0.45
UGANDA,PWRHYD002,SD,2031,0.45
UGANDA,PWRHYD002,SD,2032,0.45
UGANDA,PWRHYD002,SD,2033,0.45
UGANDA,PWRHYD002,SD,2034,0.45
UGANDA,PWRHYD002,SD,2035,0.45
UGANDA,PWRHYD002,SD,2036,0.45
UGANDA,PWRHYD002,SD,2037,0.45
UGANDA,PWRHYD002,SD,2038,0.45
UGANDA,PWRHYD002,SD,2039,0.45
UGANDA,PWRHYD002,SD,2040,0.45
UGANDA,PWRHYD002,SR,2018,0.45
UGANDA,PWRHYD002,SR,2019,0.45
UGANDA,PWRHYD002,SR,2020,0.45
UGANDA,PWRHYD002,SR,2021,0.45
UGANDA,PWRHYD002,SR,2022,0.45
UGANDA,PWRHYD002,SR,2023,0.45
UGANDA,PWRHYD002,SR,2024,0.45
UGANDA,PWRHYD002,SR,2025,0.45
UGANDA,PWRHYD002,SR,2026,0.45
UGANDA,PWRHYD002,SR,2027,0.45
UGANDA,PWRHYD002,SR,2028,0.45
UGANDA,PWRHYD002,SR,2029,0.45
UGANDA,PWRHYD002,SR,2030,0.45
UGANDA,PWRHYD002,SR,2031,0.45
UGANDA,PWRHYD002,SR,2032,0.45
UGANDA,PWRHYD002,SR,2033,0.45
UGANDA,PWRHYD002,SR,2034,0.45
UGANDA,PWRHYD002,SR,2035,0.45
UGANDA,PWRHYD002,SR,2036,0.45
UGANDA,PWRHYD002,SR,2037,0.45
UGANDA,PWRHYD002,SR,2038,0.45
UGANDA,PWRHYD002,SR,2039,0.45
UGANDA,PWRHYD002,SR,2040,0.45
UGANDA,PWRSOL001,OPDS,2018,0.0
UGANDA,PWRSOL001,OPDS,2019,0.0
UGANDA,PWRSOL001,OPDS,2020,0.0
UGANDA,PWRSOL001,OPDS,2021,0.0
UGANDA,PWRSOL001,OPDS,2022,0.0
UGANDA,PWRSOL001,OPDS,2023,0.0
UGANDA,PWRSOL001,OPDS,2024,0.0
UGANDA,PWRSOL001,OPDS,2025,0.0
UGANDA,PWRSOL001,OPDS,2026,0.0
UGANDA,PWRSOL001,OPDS,2027,0.0
UGANDA,PWRSOL001,OPDS,2028,0.0
UGANDA,PWRSOL001,OPDS,2029,0.0
UGANDA,PWRSOL001,OPDS,2030,0.0
UGANDA,PWRSOL001,OPDS,2031,0.0
UGANDA,PWRSOL001,OPDS,2032,0.0
UGANDA,PWRSOL001,OPDS,2033,0.0
UGANDA,PWRSOL001,OPDS,2034,0.0
UGANDA,PWRSOL001,OPDS,2035,0.0
UGANDA,PWRSOL001,OPDS,2036,0.0
UGANDA,PWRSOL001,OPDS,2037,0.0
UGANDA,PWRSOL001,OPDS,2038,0.0
UGANDA,PWRSOL001,OPDS,2039,0.0
UGANDA,PWRSOL001,OPDS,2040,0.0
UGANDA,PWRSOL001,OPRS,2018,0.0
UGANDA,PWRSOL001,OPRS,2019,0.0
UGANDA,PWRSOL001,OPRS,2020,0.0
UGANDA,PWRSOL001,OPRS,2021,0.0
UGANDA,PWRSOL001,OPRS,2022,0.0
UGANDA,PWRSOL001,OPRS,2023,0.0
UGANDA,PWRSOL001,OPRS,2024,0.0
UGANDA,PWRSOL001,OPRS,2025,0.0
UGANDA,PWRSOL001,OPRS,2026,0.0
UGANDA,PWRSOL001,OPRS,2027,0.0
UGANDA,PWRSOL001,OPRS,2028,0.0
UGANDA,PWRSOL001,OPRS,2029,0.0
UGANDA,PWRSOL001,OPRS,2030,0.0
UGANDA,PWRSOL001,OPRS,2031,0.0
UGANDA,PWRSOL001,OPRS,2032,0.0
UGANDA,PWRSOL001,OPRS,2033,0.0
UGANDA,PWRSOL001,OPRS,2034,0.0
UGANDA,PWRSOL001,OPRS,2035,0.0
UGANDA,PWRSOL001,OPRS,2036,0.0
UGANDA,PWRSOL001,OPRS,2037,0.0
UGANDA,PWRSOL001,OPRS,2038,0.0
UGANDA,PWRSOL001,OPRS,2039,0.0
UGANDA,PWRSOL001,OPRS,2040,0.0
UGANDA,PWRSOL001,PDS,2018,0.0
UGANDA,PWRSOL001,PDS,2019,0.0
UGANDA,PWRSOL001,PDS,2020,0.0
UGANDA,PWRSOL001,PDS,2021,0.0
UGANDA,PWRSOL001,PDS,2022,0.0
UGANDA,PWRSOL001,PDS,2023,0.0
UGANDA,PWRSOL001,PDS,2024,0.0
UGANDA,PWRSOL001,PDS,2025,0.0
UGANDA,PWRSOL001,PDS,2026,0.0
UGANDA,PWRSOL001,PDS,2027,0.0
UGANDA,PWRSOL001,PDS,2028,0.0
UGANDA,PWRSOL001,PDS,2029,0.0
UGANDA,PWRSOL001,PDS,2030,0.0
UGANDA,PWRSOL001,PDS,2031,0.0
UGANDA,PWRSOL001,PDS,2032,0.0
UGANDA,PWRSOL001,PDS,2033,0.0
UGANDA,PWRSOL001,PDS,2034,0.0
UGANDA,PWRSOL001,PDS,2035,0.0
UGANDA,PWRSOL001,PDS,2036,0.0
UGANDA,PWRSOL001,PDS,2037,0.0
UGANDA,PWRSOL001,PDS,2038,0.0
UGANDA,PWRSOL001,PDS,2039,1.0
UGANDA,PWRSOL001,PDS,2040,1.0
UGANDA,PWRSOL001,PRS,2018,0.0
UGANDA,PWRSOL001,PRS,2019,0.0
UGANDA,PWRSOL001,PRS,2020,0.0
UGANDA,PWRSOL001,PRS,2021,0.0
UGANDA,PWRSOL001,PRS,2022,0.0
UGANDA,PWRSOL001,PRS,2023,0.0
UGANDA,PWRSOL001,PRS,2024,0.0
UGANDA,PWRSOL001,PRS,2025,0.0
UGANDA,PWRSOL001,PRS,2026,0.0
UGANDA,PWRSOL001,PRS,2027,0.0
UGANDA,PWRSOL001,PRS,2028,0.0
UGANDA,PWRSOL001,PRS,2029,0.0
UGANDA,PWRSOL001,PRS,2030,0.0
UGANDA,PWRSOL001,PRS,2031,0.0
UGANDA,PWRSOL001,PRS,2032,0.0
UGANDA,PWRSOL001,PRS,2033,0.0
UGANDA,PWRSOL001,PRS,2034,0.0
UGANDA,PWRSOL001,PRS,2035,0.0
UGANDA,PWRSOL001,PRS,2036,0.0
UGANDA,PWRSOL001,PRS,2037,0.0
UGANDA,PWRSOL001,PRS,2038,0.0
UGANDA,PWRSOL001,PRS,2039,1.0
UGANDA,PWRSOL001,PRS,2040,1.0
